Objective Description,Course Number,Skill Tags
Explain significant military colonial and imperial developments in world history,History 300,historical_context|narrative_and_meaning|geopolitical_analysis|global_interconnectedness|social_structures
Use primary and secondary historical sources to construct and evaluate historical arguments,History 300,argument_construction|evidence_evaluation|logical_structure_analysis|inference_calibration|replication_and_reproducibility
Explain the major world religions and their historical influence on politics culture and conflict,History 300,cultural_literacy|historical_context|global_interconnectedness|human_nature_inquiry|social_structures
Describe the development of early civilizations in Mesopotamia China India and the Americas,History 300,historical_context|cultural_literacy|change_and_continuity|global_interconnectedness
Analyze the long-term consequences of colonialism on contemporary political and social structures,History 300,social_structures|historical_context|geopolitical_analysis|global_interconnectedness|change_and_continuity
Explain the causes and consequences of the major world wars from a global perspective,History 300,global_interconnectedness|historical_context|geopolitical_analysis|logical_structure_analysis|change_and_continuity
Apply historiographical methods to evaluate the strengths and weaknesses of historical arguments,History 300,logical_structure_analysis|assumption_identification|evidence_evaluation|inference_calibration|scientific_skepticism
Describe the global dimensions of the Cold War and decolonization movements,History 300,global_interconnectedness|historical_context|geopolitical_analysis|change_and_continuity|social_structures
Analyze the interplay of ideology religion and nationalism in shaping historical conflicts,History 300,human_nature_inquiry|historical_context|social_structures|narrative_and_meaning|geopolitical_analysis
Explain how environmental factors have shaped the rise and fall of civilizations,History 300,systems_thinking|historical_context|global_interconnectedness|change_and_continuity|interdisciplinary_transfer
Compare forms of governance across historical periods and their impact on social order,History 300,social_structures|historical_context|logical_structure_analysis|change_and_continuity|geopolitical_analysis
Evaluate the ethical dimensions of imperialism slavery and genocide in world history,History 300,moral_reasoning|stakeholder_identification|human_nature_inquiry|historical_context|rights_and_duties|global_interconnectedness
Explain the nature and sources of law and the role of law in American society,Law 220,social_structures|rights_and_duties|historical_context|logical_structure_analysis|systems_thinking
Describe the structure and jurisdiction of the federal and military court systems,Law 220,organizational_design|precision_of_language|logical_structure_analysis|systems_thinking|historical_context
Analyze constitutional law principles including individual rights and governmental authority,Law 220,rights_and_duties|civil_military_relations|logical_structure_analysis|social_structures|evidence_evaluation
Explain the elements of criminal law and the standards for criminal liability,Law 220,logical_structure_analysis|evidence_evaluation|inference_calibration|rights_and_duties|precision_of_language
Describe the Uniform Code of Military Justice and its application to Air Force personnel,Law 220,professional_responsibility|oath_and_obligation|organizational_design|professional_identity|accountability
Apply the Law of Armed Conflict to evaluate the legality of military operations and targeting,Law 220,law_of_armed_conflict|ethical_theory_application|moral_reasoning|professional_responsibility|inference_calibration|logical_structure_analysis
Evaluate ethical and legal obligations of Air Force officers using case law and scenario analysis,Law 220,professional_responsibility|moral_reasoning|rights_and_duties|ethical_theory_application|professional_identity|decision_framing
Develop critical thinking through Socratic discussion debate and written legal analysis,Law 220,argument_construction|oral_delivery|logical_structure_analysis|evidence_evaluation|active_listening|precision_of_language
Read and interpret judicial opinions to extract legal rules and apply them to new situations,Law 220,inference_calibration|logical_structure_analysis|evidence_evaluation|precision_of_language|data_interpretation
Explain the legal framework governing the use of force under domestic and international law,Law 220,law_of_armed_conflict|geopolitical_analysis|civil_military_relations|rights_and_duties|logical_structure_analysis
Describe the role and jurisdiction of military commissions and their distinction from civilian courts,Law 220,organizational_design|civil_military_relations|logical_structure_analysis|professional_responsibility|precision_of_language
Analyze landmark Supreme Court decisions affecting military operations and personnel rights,Law 220,rights_and_duties|historical_context|civil_military_relations|evidence_evaluation|logical_structure_analysis
Identify legal obligations of Air Force officers under administrative contract and fiscal law,Law 220,professional_responsibility|rights_and_duties|accountability|organizational_design|resource_stewardship
Describe privacy law electronic surveillance law and their application to cyber operations,Law 220,rights_and_duties|intelligence_literacy|law_of_armed_conflict|social_structures|technology_awareness
Evaluate the legality of detention practices under domestic and international legal standards,Law 220,law_of_armed_conflict|moral_reasoning|rights_and_duties|evidence_evaluation|geopolitical_analysis
Apply legal reasoning to novel national security scenarios involving emerging technologies,Law 220,logical_structure_analysis|uncertainty_tolerance|decision_framing|technology_awareness|inference_calibration
Explain administrative law processes and their role in military justice and officer discipline,Law 220,organizational_design|professional_responsibility|accountability|systems_thinking|precision_of_language
Describe the legal frameworks governing space operations and cyber warfare,Law 220,geopolitical_analysis|decision_framing|law_of_armed_conflict|technology_awareness|global_interconnectedness
Explain foundational psychological and sociological concepts that shape interpersonal relationships,Ldrshp 100,interpersonal_influence|social_structures|human_nature_inquiry|logical_structure_analysis|systems_thinking
Identify how personal values attitudes and beliefs influence behavior toward others,Ldrshp 100,values_clarification|self_leadership|interpersonal_influence|metacognitive_awareness|bias_recognition
Recognize and explain the role of communication in building and maintaining relationships,Ldrshp 100,active_listening|interpersonal_influence|audience_adaptation|oral_delivery|feedback_integration
Apply strategies for managing conflict and difficult interpersonal situations professionally,Ldrshp 100,conflict_resolution|professional_identity|interpersonal_influence|integrity_and_honesty|emotional_regulation
Demonstrate self-awareness about personal strengths and areas for development as a leader,Ldrshp 100,metacognitive_awareness|self_leadership|feedback_integration|accountability|values_clarification
Explain the importance of emotional intelligence and empathy in leadership,Ldrshp 100,interpersonal_influence|perspective_taking|human_nature_inquiry|self_leadership|metacognitive_awareness
Apply reflective practices to continuously improve interpersonal and leadership effectiveness,Ldrshp 100,metacognitive_awareness|feedback_integration|self_leadership|accountability|change_management
Describe major psychological theories of personality and their relevance to leadership style,Ldrshp 100,human_nature_inquiry|logical_structure_analysis|model_limitations|interpersonal_influence|interdisciplinary_transfer
Apply active listening and questioning techniques to improve interpersonal understanding,Ldrshp 100,active_listening|inference_calibration|interpersonal_influence|audience_adaptation|feedback_integration
Identify the role of power and authority in shaping interpersonal dynamics,Ldrshp 100,social_structures|organizational_design|interpersonal_influence|human_nature_inquiry|systems_thinking
Demonstrate ability to give and receive constructive feedback in a professional setting,Ldrshp 100,feedback_integration|professional_identity|interpersonal_influence|integrity_and_honesty|oral_delivery
Apply emotional regulation strategies to manage one's behavior under interpersonal stress,Ldrshp 100,resilience_under_adversity|physical_and_mental_discipline|self_leadership|metacognitive_awareness
Recognize the symptoms and effects of interpersonal conflict and apply de-escalation strategies,Ldrshp 100,conflict_resolution|interpersonal_influence|logical_structure_analysis|perspective_taking|inference_calibration
Explain how cultural background and identity influence communication styles and expectations,Ldrshp 100,cross_cultural_ethics|identity_and_diversity|interpersonal_influence|audience_adaptation|cultural_literacy
Develop a self-improvement plan based on systematic self-assessment and peer input,Ldrshp 100,self_leadership|feedback_integration|accountability|metacognitive_awareness|organizational_design
Explain the neuroscience of social bonding trust and prosocial behavior,Ldrshp 100,human_nature_inquiry|integrity_and_honesty|interpersonal_influence|interdisciplinary_transfer|logical_structure_analysis
Articulate the connection between self-awareness and effective followership,Ldrshp 100,metacognitive_awareness|commitment_to_service|self_leadership|accountability|values_clarification
Describe the psychological basis for inclusion belonging and their effects on performance,Ldrshp 100,identity_and_diversity|esprit_de_corps|human_nature_inquiry|logical_structure_analysis|team_dynamics
Explain key theories and models of leadership and their practical application,Ldrshp 200,interpersonal_influence|logical_structure_analysis|model_limitations|change_and_continuity|interdisciplinary_transfer
Apply leadership principles to motivate and develop individual subordinates,Ldrshp 200,mission_command|interpersonal_influence|feedback_integration|organizational_design|self_leadership
Demonstrate respectful and dignified treatment of others in leadership roles,Ldrshp 200,integrity_and_honesty|rights_and_duties|professional_identity|values_clarification|cross_cultural_ethics
Analyze case studies to identify effective and ineffective interpersonal leadership practices,Ldrshp 200,evidence_evaluation|decision_framing|logical_structure_analysis|inference_calibration|interpersonal_influence
Develop a plan for personal growth as a leader based on feedback and reflection,Ldrshp 200,self_leadership|feedback_integration|accountability|metacognitive_awareness|organizational_design
Describe the characteristics of an officer of character and apply them to leadership scenarios,Ldrshp 200,professional_identity|core_values_internalization|values_clarification|integrity_and_honesty|accountability
Compare and contrast major leadership theories including transformational servant and situational leadership,Ldrshp 200,logical_structure_analysis|change_and_continuity|model_limitations|perspective_taking|evidence_evaluation
Apply situational leadership principles to select appropriate leadership behaviors for different subordinates,Ldrshp 200,mission_command|interpersonal_influence|decision_framing|audience_adaptation|perspective_taking
Develop and deliver constructive individual performance counseling following Air Force standards,Ldrshp 200,oral_delivery|feedback_integration|interpersonal_influence|mission_command|professional_identity
Analyze how organizational culture and climate affect individual and team performance,Ldrshp 200,organizational_design|team_dynamics|systems_thinking|cultural_literacy|logical_structure_analysis
Identify and mitigate the effects of groupthink and conformity bias on decision-making,Ldrshp 200,bias_recognition|moral_courage|logical_structure_analysis|team_dynamics|decision_framing
Demonstrate the ability to lead diverse teams by adapting communication and motivational approaches,Ldrshp 200,audience_adaptation|team_dynamics|identity_and_diversity|interpersonal_influence|cross_cultural_ethics
Apply models of ethical leadership to evaluate officer conduct in case studies,Ldrshp 200,moral_reasoning|professional_identity|ethical_theory_application|logical_structure_analysis|evidence_evaluation
Construct a structured developmental plan for a notional subordinate,Ldrshp 200,mission_command|organizational_design|feedback_integration|logical_organization|written_mechanics
Evaluate the role of followership in organizational effectiveness,Ldrshp 200,commitment_to_service|organizational_design|accountability|systems_thinking|logical_structure_analysis
Explain how mentoring and sponsorship contribute to talent development in military organizations,Ldrshp 200,interpersonal_influence|resource_stewardship|organizational_design|mission_command|commitment_to_service
Demonstrate ability to brief a leadership assessment using structured analytic frameworks,Ldrshp 200,oral_delivery|decision_framing|logical_organization|audience_adaptation|written_mechanics
Apply psychological safety principles to create environments where subordinates speak up,Ldrshp 200,moral_courage|mission_command|interpersonal_influence|team_dynamics|integrity_and_honesty
Explain theories of group dynamics and team development applicable to military teams,Ldrshp 300,team_dynamics|logical_structure_analysis|human_nature_inquiry|systems_thinking|model_limitations
Apply team leadership principles to guide interdependent groups toward mission accomplishment,Ldrshp 300,team_dynamics|commitment_to_service|mission_command|organizational_design|esprit_de_corps
Diagnose and address challenges to team cohesion performance and communication,Ldrshp 300,team_dynamics|conflict_resolution|logical_structure_analysis|interpersonal_influence|decision_framing
Design and lead team exercises that build trust accountability and shared purpose,Ldrshp 300,accountability|esprit_de_corps|integrity_and_honesty|team_dynamics|interpersonal_influence
Evaluate team performance using structured assessment frameworks and provide developmental feedback,Ldrshp 300,feedback_integration|decision_framing|logical_organization|team_dynamics|evidence_evaluation
Demonstrate ethical conduct and respect for dignity in all team leadership interactions,Ldrshp 300,integrity_and_honesty|human_nature_inquiry|rights_and_duties|values_clarification|professional_responsibility
Apply the After-Action Review process to extract lessons learned from team exercises,Ldrshp 300,metacognitive_awareness|replication_and_reproducibility|feedback_integration|organizational_design|accountability
Describe models of team development and apply them to military unit readiness,Ldrshp 300,team_dynamics|esprit_de_corps|model_limitations|organizational_design|logical_structure_analysis
Design and implement a structured team decision-making process under time pressure,Ldrshp 300,decision_framing|resilience_under_adversity|team_dynamics|logical_organization|organizational_design
Analyze the role of psychological safety in team creativity learning and risk-taking,Ldrshp 300,moral_courage|team_dynamics|logical_structure_analysis|human_nature_inquiry|organizational_design
Evaluate the impact of diversity and inclusion on team performance and innovation,Ldrshp 300,identity_and_diversity|team_dynamics|evidence_evaluation|logical_structure_analysis|organizational_design
Apply communication planning to coordinate complex multi-element team operations,Ldrshp 300,logical_organization|team_dynamics|audience_adaptation|strategic_communication|organizational_design
Demonstrate ability to adapt leadership style to team development stage and task demands,Ldrshp 300,interpersonal_influence|audience_adaptation|metacognitive_awareness|team_dynamics|decision_framing
Construct a team performance improvement plan based on structured assessment and feedback,Ldrshp 300,feedback_integration|organizational_design|logical_organization|team_dynamics|written_mechanics
Identify and address social loafing and free-rider effects in team contexts,Ldrshp 300,accountability|team_dynamics|interpersonal_influence|logical_structure_analysis|decision_framing
Demonstrate cross-functional coordination skills by leading a joint team exercise,Ldrshp 300,alliance_and_coalition_dynamics|team_dynamics|interpersonal_influence|organizational_design|communication
Apply conflict escalation models to anticipate and defuse emerging team tensions,Ldrshp 300,conflict_resolution|team_dynamics|logical_structure_analysis|inference_calibration|interpersonal_influence
Evaluate the ethical dimensions of team leadership including accountability for team behavior,Ldrshp 300,accountability|professional_responsibility|moral_reasoning|team_dynamics|integrity_and_honesty
Apply organizational leadership theory to diagnose strengths and weaknesses of complex systems,Ldrshp 400,systems_thinking|organizational_design|logical_structure_analysis|failure_mode_analysis|evidence_evaluation
Describe the interdependence between an organization and its broader institutional environment,Ldrshp 400,social_structures|systems_thinking|organizational_design|logical_structure_analysis|geopolitical_analysis
Develop and execute strategies to improve organizational performance and culture,Ldrshp 400,change_management|organizational_design|strategic_communication|decision_framing|stakeholder_identification
Evaluate organizational problems using case studies and experiential exercises,Ldrshp 400,evidence_evaluation|decision_framing|logical_structure_analysis|systems_thinking|inference_calibration
Synthesize and integrate lessons from the full Ldrshp 100-400 sequence into a personal leadership philosophy,Ldrshp 400,self_leadership|metacognitive_awareness|values_clarification|written_mechanics|accountability
Lead organizations with character dignity and accountability for mission and people,Ldrshp 400,accountability|commitment_to_service|integrity_and_honesty|professional_identity|core_values_internalization
Apply systems leadership theory to diagnose and address organizational failure modes,Ldrshp 400,failure_mode_analysis|systems_thinking|organizational_design|logical_structure_analysis|decision_framing
Evaluate organizational culture models and their impact on mission effectiveness,Ldrshp 400,organizational_design|cultural_literacy|systems_thinking|evidence_evaluation|logical_structure_analysis
Design an organizational change initiative addressing a real or simulated institutional problem,Ldrshp 400,change_management|design_iteration|organizational_design|stakeholder_identification|strategic_communication
Apply stakeholder analysis to build coalitions and manage resistance to organizational change,Ldrshp 400,stakeholder_identification|alliance_and_coalition_dynamics|change_management|interpersonal_influence|decision_framing
Demonstrate strategic communication skills by developing a narrative to guide organizational change,Ldrshp 400,strategic_communication|narrative_and_meaning|audience_adaptation|change_management|written_mechanics
Evaluate the role of leader character in setting and sustaining organizational values and norms,Ldrshp 400,core_values_internalization|organizational_design|integrity_and_honesty|values_clarification|professional_identity
Apply talent management principles to identify develop and retain key organizational contributors,Ldrshp 400,resource_stewardship|organizational_design|interpersonal_influence|mission_command|decision_framing
Assess ethical climate within organizations and develop interventions to address integrity gaps,Ldrshp 400,integrity_and_honesty|professional_responsibility|organizational_design|moral_reasoning|accountability
Develop and present an original organizational leadership assessment to a senior audience,Ldrshp 400,oral_delivery|audience_adaptation|written_mechanics|logical_organization|evidence_evaluation
Explain how organizational incentive structures shape behavior and how to align them with mission,Ldrshp 400,organizational_design|mission_command|systems_thinking|logical_structure_analysis|commitment_to_service
Demonstrate mastery of organizational leadership by synthesizing capstone project findings,Ldrshp 400,self_leadership|written_mechanics|oral_delivery|metacognitive_awareness|accountability
Apply continuous improvement frameworks to organizational processes,Ldrshp 400,change_management|replication_and_reproducibility|organizational_design|systems_thinking|design_iteration
Evaluate limits of functions analytically graphically and numerically,Math 141,quantitative_reasoning|logical_structure_analysis|visual_communication|mathematical_modeling
Compute derivatives using rules including product quotient and chain rules,Math 141,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|solution_validation
Apply differentiation to solve optimization problems and related rates,Math 141,mathematical_modeling|decision_framing|quantitative_reasoning|requirements_analysis
Interpret derivatives geometrically as rates of change and slopes of tangent lines,Math 141,data_interpretation|visual_communication|mathematical_modeling|inference_calibration
Use vectors dot products and projections to solve problems in linear algebra,Math 141,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Model real-world datasets using functions with parameters and interpret results,Math 141,mathematical_modeling|inference_calibration|data_interpretation|quantitative_reasoning|interdisciplinary_transfer
Perform dimensional analysis and unit conversions in applied problem contexts,Math 141,quantitative_reasoning|precision_of_language|solution_validation|mathematical_modeling
Use computational tools to investigate and visualize mathematical problems,Math 141,technology_awareness|visual_communication|mathematical_modeling|quantitative_reasoning
Prove properties of limits and derivatives from first principles using epsilon-delta definitions,Math 141,logical_structure_analysis|precision_of_language|argument_construction|quantitative_reasoning
Apply L'Hopital's rule to evaluate limits of indeterminate forms,Math 141,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Interpret the Mean Value Theorem and apply it to analyze function behavior,Math 141,logical_structure_analysis|inference_calibration|mathematical_modeling|quantitative_reasoning
Analyze function behavior using first and second derivatives to identify extrema and inflection points,Math 141,data_interpretation|mathematical_modeling|visual_communication|quantitative_reasoning
Apply Newton's method to numerically approximate solutions to equations,Math 141,quantitative_estimation|mathematical_modeling|technology_awareness|solution_validation
Use implicit differentiation to find derivatives of implicitly defined functions,Math 141,mathematical_modeling|logical_structure_analysis|quantitative_reasoning
Apply calculus concepts to kinematics problems including position velocity and acceleration,Math 141,mathematical_modeling|quantitative_reasoning|interdisciplinary_transfer|systems_thinking
Construct mathematical proofs using standard proof techniques including direct proof and proof by contradiction,Math 141,argument_construction|precision_of_language|quantitative_reasoning|logical_structure_analysis
Use Taylor polynomials to approximate functions and estimate error bounds,Math 141,quantitative_estimation|failure_mode_analysis|mathematical_modeling|inference_calibration
Communicate mathematical reasoning clearly in written solutions using correct notation,Math 141,written_mechanics|precision_of_language|logical_organization|audience_adaptation
Compute antiderivatives using substitution integration by parts and other techniques,Math 142,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|solution_validation
Apply the Fundamental Theorem of Calculus to evaluate definite integrals,Math 142,logical_structure_analysis|mathematical_modeling|quantitative_reasoning
Use definite integrals to compute areas volumes and other applied quantities,Math 142,mathematical_modeling|quantitative_reasoning|quantitative_estimation|interdisciplinary_transfer
Apply Euler's method and other numerical techniques to approximate solutions,Math 142,quantitative_estimation|mathematical_modeling|technology_awareness|solution_validation
Formulate and solve optimization problems in single and multiple variables,Math 142,mathematical_modeling|decision_framing|quantitative_reasoning|requirements_analysis
Construct and analyze mathematical models using differential equations,Math 142,mathematical_modeling|systems_thinking|quantitative_reasoning|inference_calibration
Extend data literacy skills by using computers to solve and investigate mathematical problems,Math 142,technology_awareness|data_interpretation|mathematical_modeling|quantitative_reasoning
Apply integration to compute arc length surface area and center of mass,Math 142,mathematical_modeling|quantitative_reasoning|quantitative_estimation
Solve separable and linear first-order differential equations analytically,Math 142,mathematical_modeling|logical_structure_analysis|quantitative_reasoning
Analyze convergence of infinite series using standard tests,Math 142,logical_structure_analysis|solution_validation|quantitative_reasoning|mathematical_modeling
Represent functions as power series and determine radii of convergence,Math 142,mathematical_modeling|inference_calibration|quantitative_reasoning|logical_structure_analysis
Apply Taylor and Maclaurin series to approximate functions and evaluate limits,Math 142,quantitative_estimation|mathematical_modeling|quantitative_reasoning
Solve problems in polar coordinates and parameterized curves,Math 142,mathematical_modeling|visual_communication|quantitative_reasoning
Apply calculus of vector-valued functions to analyze motion in space,Math 142,mathematical_modeling|quantitative_reasoning|systems_thinking|interdisciplinary_transfer
Use numerical integration methods and assess their accuracy,Math 142,quantitative_estimation|solution_validation|mathematical_modeling|failure_mode_analysis
Model physical phenomena using first-order differential equations,Math 142,mathematical_modeling|interdisciplinary_transfer|quantitative_reasoning|inference_calibration
Communicate mathematical arguments in writing using precise notation and logical structure,Math 142,written_mechanics|precision_of_language|logical_organization|argument_construction
Extend integration techniques to improper integrals and assess convergence,Math 142,logical_structure_analysis|solution_validation|mathematical_modeling|quantitative_reasoning
Complete all Math 142 content at an accelerated pace with greater rigor and depth,Math 152,quantitative_reasoning|mathematical_modeling|resilience_under_adversity|physical_and_mental_discipline
Apply advanced integration techniques to solve complex applied problems,Math 152,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|systems_thinking
Demonstrate preparation for multivariable calculus and technical major coursework,Math 152,mathematical_modeling|systems_thinking|interdisciplinary_transfer|quantitative_reasoning
Complete all Math 141 and 142 content at an accelerated pace with greater rigor,Math 152,quantitative_reasoning|logical_structure_analysis|resilience_under_adversity|physical_and_mental_discipline
Prove convergence results for series using rigorous analytical techniques,Math 152,logical_structure_analysis|argument_construction|quantitative_reasoning|precision_of_language
Apply multivariable calculus concepts including partial derivatives and gradient vectors,Math 152,mathematical_modeling|quantitative_reasoning|systems_thinking|visual_communication
Solve systems of differential equations and interpret solutions physically,Math 152,mathematical_modeling|systems_thinking|data_interpretation|interdisciplinary_transfer
Analyze vector fields and apply the Divergence and Stokes' theorems,Math 152,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|systems_thinking
Demonstrate preparation for technical major coursework through applied problem sets,Math 152,quantitative_estimation|solution_validation|mathematical_modeling|accountability
Apply advanced numerical methods to solve differential equations,Math 152,mathematical_modeling|technology_awareness|quantitative_reasoning|solution_validation
Construct and interpret mathematical models in physics and engineering contexts,Math 152,mathematical_modeling|interdisciplinary_transfer|systems_thinking|inference_calibration
Demonstrate rigorous proof-writing skills in analysis contexts,Math 152,argument_construction|precision_of_language|logical_structure_analysis|written_mechanics
Evaluate limits of multivariable functions and determine continuity,Math 152,logical_structure_analysis|mathematical_modeling|quantitative_reasoning
Use Lagrange multipliers to solve constrained optimization problems,Math 152,mathematical_modeling|decision_framing|quantitative_reasoning|requirements_analysis
Apply line integrals and surface integrals to compute physical quantities,Math 152,mathematical_modeling|quantitative_reasoning|interdisciplinary_transfer|systems_thinking
Explain the relationship between multivariable calculus and physical laws,Math 152,interdisciplinary_transfer|systems_thinking|mathematical_modeling|logical_structure_analysis
Use computational tools to visualize and analyze multivariable functions,Math 152,technology_awareness|visual_communication|mathematical_modeling|quantitative_reasoning
Communicate solutions to complex mathematical problems clearly and precisely,Math 152,written_mechanics|precision_of_language|logical_organization|audience_adaptation
Calculate basic probabilities using rules of probability and counting techniques,Math 300,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Describe common probability distributions and apply them to decision-making contexts,Math 300,quantitative_reasoning|decision_framing|mathematical_modeling|inference_calibration
Construct and interpret confidence intervals for population parameters,Math 300,argument_construction|inference_calibration|quantitative_reasoning|data_interpretation|uncertainty_tolerance
Conduct hypothesis tests and interpret p-values and statistical significance,Math 300,hypothesis_formation|quantitative_reasoning|inference_calibration|scientific_skepticism|logical_structure_analysis
Build and interpret regression models to predict and understand relationships in data,Math 300,mathematical_modeling|data_interpretation|inference_calibration|quantitative_reasoning|model_limitations
Create appropriate data visualizations and interpret graphs and summary statistics,Math 300,visual_communication|data_interpretation|quantitative_reasoning|audience_adaptation|logical_organization
Critically evaluate statistical arguments and identify potential errors in data reasoning,Math 300,logical_structure_analysis|scientific_skepticism|evidence_evaluation|assumption_identification|inference_calibration
Apply statistical reasoning to policy social science and leadership decision contexts,Math 300,data_interpretation|decision_framing|interdisciplinary_transfer|quantitative_reasoning|logical_structure_analysis
Apply the central limit theorem to justify normal approximations in sampling distributions,Math 300,mathematical_modeling|quantitative_estimation|logical_structure_analysis|inference_calibration
Design a basic statistical study and identify potential sources of bias and confounding,Math 300,experimental_design|bias_recognition|quantitative_reasoning|design_iteration|assumption_identification
Compute and interpret effect sizes alongside p-values to assess practical significance,Math 300,data_interpretation|inference_calibration|quantitative_reasoning|logical_structure_analysis
Apply non-parametric tests when parametric assumptions are violated,Math 300,assumption_identification|solution_validation|mathematical_modeling|scientific_skepticism
Use statistical software to clean explore and analyze real-world datasets,Math 300,technology_awareness|data_interpretation|quantitative_reasoning|design_iteration
Communicate statistical findings to a non-technical audience with appropriate caveats,Math 300,audience_adaptation|precision_of_language|oral_delivery|visual_communication|written_mechanics
Evaluate published statistical claims and identify errors in reasoning or methodology,Math 300,evidence_evaluation|failure_mode_analysis|logical_structure_analysis|scientific_skepticism|assumption_identification
Apply probability models to simulate and analyze decision outcomes under uncertainty,Math 300,uncertainty_tolerance|quantitative_reasoning|mathematical_modeling|decision_framing
Demonstrate understanding of sample size and power considerations in study design,Math 300,design_iteration|quantitative_reasoning|experimental_design|inference_calibration
Identify and address violations of regression model assumptions in applied contexts,Math 300,assumption_identification|model_limitations|mathematical_modeling|data_interpretation|scientific_skepticism
Calculate probabilities using discrete and continuous probability distributions,Math 356,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Apply statistical inference methods to draw conclusions from engineering and scientific data,Math 356,inference_calibration|data_interpretation|quantitative_reasoning|evidence_evaluation|logical_structure_analysis
Construct and evaluate confidence intervals and conduct hypothesis tests in technical contexts,Math 356,hypothesis_formation|solution_validation|quantitative_reasoning|inference_calibration|data_interpretation
Build and interpret simple and multiple regression models for technical applications,Math 356,mathematical_modeling|data_interpretation|inference_calibration|model_limitations|quantitative_reasoning
Use data visualization and management tools to explore and communicate technical data,Math 356,visual_communication|technology_awareness|data_interpretation|audience_adaptation
Apply statistical design-of-experiments reasoning to interpret results from technical studies,Math 356,experimental_design|data_interpretation|logical_structure_analysis|quantitative_reasoning|design_iteration
Critically evaluate data-based claims as an informed technical decision-maker,Math 356,evidence_evaluation|scientific_skepticism|logical_structure_analysis|assumption_identification|inference_calibration
Apply the central limit theorem to justify sampling distribution approximations in engineering contexts,Math 356,quantitative_estimation|mathematical_modeling|inference_calibration|logical_structure_analysis
Use statistical process control techniques to monitor and improve engineering processes,Math 356,replication_and_reproducibility|solution_validation|quantitative_reasoning|data_interpretation|systems_thinking
Identify and handle outliers missing data and non-normal distributions in engineering datasets,Math 356,data_interpretation|failure_mode_analysis|scientific_skepticism|model_limitations
Apply reliability engineering concepts including failure rates and survival analysis,Math 356,failure_mode_analysis|mathematical_modeling|quantitative_reasoning|systems_thinking|interdisciplinary_transfer
Communicate statistical analysis findings in technical reports and presentations,Math 356,written_mechanics|oral_delivery|data_interpretation|audience_adaptation|visual_communication
Evaluate the assumptions underlying statistical models and test for violations,Math 356,assumption_identification|model_limitations|scientific_skepticism|mathematical_modeling|logical_structure_analysis
Develop simulation models to analyze variability in engineering systems,Math 356,mathematical_modeling|systems_thinking|quantitative_reasoning|technology_awareness
Apply Bayesian reasoning to update probabilities given new evidence in engineering decisions,Math 356,inference_calibration|evidence_evaluation|mathematical_modeling|quantitative_reasoning|uncertainty_tolerance
Distinguish between correlation and causation and apply this distinction in engineering analysis,Math 356,logical_structure_analysis|inference_calibration|scientific_skepticism|assumption_identification
Design a full factorial or fractional factorial experiment and analyze the results,Math 356,experimental_design|design_iteration|data_interpretation|quantitative_reasoning|solution_validation
Apply acceptance sampling plans and interpret operating characteristic curves,Math 356,data_interpretation|solution_validation|quantitative_reasoning|systems_thinking
Derive and apply calculus-based probability for continuous and discrete random variables,Math 377,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Work with common univariate and multivariate probability distributions,Math 377,mathematical_modeling|quantitative_reasoning|systems_thinking
Construct and interpret confidence intervals using appropriate sampling distributions,Math 377,inference_calibration|argument_construction|data_interpretation|quantitative_reasoning|uncertainty_tolerance
Perform formal hypothesis tests and correctly interpret results and error types,Math 377,hypothesis_formation|failure_mode_analysis|inference_calibration|logical_structure_analysis|quantitative_reasoning
Apply statistical software to perform data analysis and present findings,Math 377,technology_awareness|data_interpretation|oral_delivery|quantitative_reasoning|visual_communication
Demonstrate rigorous mathematical reasoning in probability proofs and derivations,Math 377,logical_structure_analysis|argument_construction|quantitative_reasoning|precision_of_language
Derive moment generating functions and use them to identify distributions and compute moments,Math 377,mathematical_modeling|quantitative_reasoning|logical_structure_analysis
Apply the law of large numbers and central limit theorem with rigorous proofs,Math 377,logical_structure_analysis|quantitative_reasoning|argument_construction|mathematical_modeling
Apply Bayesian inference including prior and posterior distributions and credible intervals,Math 377,inference_calibration|evidence_evaluation|mathematical_modeling|uncertainty_tolerance|quantitative_reasoning
Analyze maximum likelihood estimation and derive properties of estimators,Math 377,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|evidence_evaluation
Evaluate goodness-of-fit using chi-squared and Kolmogorov-Smirnov tests,Math 377,solution_validation|data_interpretation|quantitative_reasoning|scientific_skepticism
Apply order statistics and extreme value theory to engineering and reliability contexts,Math 377,quantitative_reasoning|mathematical_modeling|failure_mode_analysis|interdisciplinary_transfer
Communicate probabilistic reasoning and statistical results in formal written proofs,Math 377,written_mechanics|precision_of_language|argument_construction|logical_organization
Explain the mathematical foundations of simulation methods including Monte Carlo,Math 377,mathematical_modeling|quantitative_reasoning|technology_awareness|systems_thinking
